dd/mm/yyyy,hh:mm:ss GMT,Series,Track,Laps
02/12/14,16:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
02/12/14,18:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
02/12/14,20:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
02/12/14,22:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,00:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,02:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,04:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,06:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,08:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,10:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,12:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,14:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,16:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,18:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,20:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,22:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,00:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,02:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,04:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,06:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,08:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,10:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,12:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,14:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,16:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,18:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,20:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,22:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,00:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,02:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,04:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,06:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,08:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,10:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,12:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,14:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,16:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,18:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,20:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,22:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,00:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,02:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,04:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,06:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,08:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,10:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,12:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,14:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,16:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,18:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,20:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,22:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
07/12/14,00:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
07/12/14,02:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
07/12/14,04:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
07/12/14,06:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
07/12/14,08:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
07/12/14,10:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
07/12/14,12:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
07/12/14,14:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
07/12/14,16:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
07/12/14,18:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
07/12/14,20:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
07/12/14,22:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
08/12/14,00:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
08/12/14,02:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
08/12/14,04:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
08/12/14,06:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
08/12/14,08:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
08/12/14,10:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
08/12/14,12:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
08/12/14,14:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
08/12/14,16:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
08/12/14,18:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
08/12/14,20:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
08/12/14,22:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
25/11/14,00:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
25/11/14,02:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
25/11/14,04:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
25/11/14,06:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
25/11/14,08:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
25/11/14,10:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
25/11/14,12:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
25/11/14,14:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
25/11/14,16:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
25/11/14,18:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
25/11/14,20:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
25/11/14,22:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
26/11/14,00:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
26/11/14,02:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
26/11/14,04:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
26/11/14,06:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
26/11/14,08:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
26/11/14,10:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
26/11/14,12:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
26/11/14,14:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
26/11/14,16:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
26/11/14,18:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
26/11/14,20:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
26/11/14,22:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
27/11/14,00:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
27/11/14,02:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
27/11/14,04:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
27/11/14,06:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
27/11/14,08:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
27/11/14,10:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
27/11/14,12:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
27/11/14,14:45:00,iRacing Spec Racer Ford Challenge,Summit Point Raceway,18
